id;component;action;target;objectid;edulevel;contextid;contextlevel;contextinstanceid;userid;courseid;anonymous;timecreated
79;assignsubmission_file;created;submission;77821;2;106097;70;67848;13894;1093;0;1420115402
186;booktool_print;printed;chapter;13542;2;66331;70;41540;14705;630;0;1420123288
252;booktool_print;printed;chapter;13547;2;66321;70;41549;14705;630;0;1420126626
256;assignsubmission_file;created;submission;77822;2;106097;70;67848;14057;1093;0;1420126809
271;booktool_print;printed;chapter;13572;2;66352;70;41568;14705;630;0;1420127321
283;booktool_print;printed;chapter;13563;2;66349;70;41564;14705;630;0;1420128181
293;assignsubmission_file;created;submission;77824;2;106097;70;67848;13929;1093;0;1420129520
296;assignsubmission_file;created;submission;77825;2;106097;70;67848;13928;1093;0;1420129521
335;assignsubmission_file;created;submission;77826;2;106097;70;67848;13546;1093;0;1420133196
474;assignsubmission_onlinetext;created;submission;9481;2;111242;70;70698;12790;1093;0;1420141666
508;assignsubmission_file;created;submission;77827;2;106097;70;67848;13046;1093;0;1420145866
522;assignsubmission_file;created;submission;77828;2;106097;70;67848;14059;1093;0;1420147807
546;assignsubmission_file;created;submission;77829;2;106252;70;67999;11494;1094;0;1420151206
554;assignsubmission_file;created;submission;77831;2;106097;70;67848;13045;1093;0;1420153454
577;assignsubmission_onlinetext;created;submission;9482;2;111242;70;70698;4685;1093;0;1420162611
590;assignsubmission_file;created;submission;77833;2;106097;70;67848;12881;1093;0;1420163712
690;assignsubmission_file;created;submission;77834;2;106097;70;67848;12818;1093;0;1420193100
708;booktool_print;printed;book;2290;2;66326;70;41531;14032;630;0;1420193581
715;assignsubmission_file;created;submission;77835;2;106097;70;67848;13457;1093;0;1420193733
770;booktool_print;printed;book;2291;2;66319;70;41535;14032;630;0;1420195094
881;booktool_print;printed;book;2293;2;66331;70;41540;14032;630;0;1420196794
888;booktool_print;printed;book;2292;2;66330;70;41539;14032;630;0;1420196928
891;booktool_print;printed;book;2292;2;66330;70;41539;14032;630;0;1420196965
896;booktool_print;printed;book;2295;2;66320;70;41550;14032;630;0;1420197032
930;booktool_print;printed;book;2294;2;66321;70;41549;14032;630;0;1420198000
938;booktool_print;printed;book;2295;2;66320;70;41550;14032;630;0;1420198165
1008;booktool_print;printed;book;2296;2;66345;70;41560;14032;630;0;1420200504
1011;booktool_print;printed;book;2297;2;66346;70;41561;14032;630;0;1420200545
1015;booktool_print;printed;book;2298;2;66349;70;41564;14032;630;0;1420200616
1057;assignsubmission_file;created;submission;77837;2;106097;70;67848;12803;1093;0;1420202072
1103;assignsubmission_file;created;submission;77838;2;106097;70;67848;13050;1093;0;1420203114
1183;assignsubmission_onlinetext;created;submission;9483;2;111242;70;70698;13283;1093;0;1420205935
1322;assignsubmission_file;created;submission;77844;2;106097;70;67848;13945;1093;0;1420209509
1390;assignsubmission_file;created;submission;77845;2;106252;70;67999;10752;1094;0;1420212871
1434;assignsubmission_file;created;submission;77847;2;106097;70;67848;12809;1093;0;1420214419
1475;booktool_print;printed;chapter;13515;2;66326;70;41531;14706;630;0;1420216441
1479;assignsubmission_file;created;submission;77848;2;106097;70;67848;13529;1093;0;1420216672
1488;booktool_print;printed;chapter;13531;2;66319;70;41535;14706;630;0;1420216843
1534;booktool_print;printed;chapter;13572;2;66352;70;41568;14706;630;0;1420217902
1573;assignsubmission_file;created;submission;77849;2;106097;70;67848;12801;1093;0;1420218630
1586;assignsubmission_file;created;submission;77850;2;111132;70;70647;10798;1094;0;1420218861
1644;assignsubmission_file;created;submission;77851;2;106097;70;67848;6695;1093;0;1420219850
1652;assignsubmission_file;created;submission;77852;2;106097;70;67848;12832;1093;0;1420220076
1693;assignsubmission_file;created;submission;77853;2;106097;70;67848;13596;1093;0;1420221139
1704;assignsubmission_file;created;submission;77854;2;106097;70;67848;12817;1093;0;1420221523
1723;assignsubmission_file;created;submission;77855;2;106097;70;67848;13949;1093;0;1420221872
1770;assignsubmission_file;created;submission;77856;2;106097;70;67848;14032;1093;0;1420223699
1781;assignsubmission_file;created;submission;77857;2;106097;70;67848;12909;1093;0;1420223816
1784;assignsubmission_file;created;submission;77858;2;106097;70;67848;13053;1093;0;1420223825
1806;assignsubmission_file;created;submission;77859;2;106097;70;67848;13047;1093;0;1420224770
1819;assignsubmission_file;created;submission;77860;2;106097;70;67848;13950;1093;0;1420225138
1850;assignsubmission_file;created;submission;77861;2;106097;70;67848;13890;1093;0;1420225662
1876;assignsubmission_file;created;submission;77862;2;106097;70;67848;12994;1093;0;1420226774
1920;assignsubmission_file;created;submission;77863;2;106097;70;67848;12806;1093;0;1420228263
1923;assignsubmission_file;created;submission;77864;2;106097;70;67848;12807;1093;0;1420228346
1971;assignsubmission_file;created;submission;77865;2;106097;70;67848;12914;1093;0;1420230656
1981;assignsubmission_file;created;submission;77866;2;106097;70;67848;12998;1093;0;1420231036
1985;assignsubmission_file;created;submission;77867;2;106097;70;67848;12733;1093;0;1420231046
1989;assignsubmission_file;created;submission;77868;2;106097;70;67848;13054;1093;0;1420231207
1999;assignsubmission_file;created;submission;77869;2;106097;70;67848;12804;1093;0;1420231360
2021;assignsubmission_file;created;submission;77870;2;106097;70;67848;13911;1093;0;1420232133
2040;assignsubmission_file;created;submission;77871;2;106097;70;67848;12837;1093;0;1420232808
2047;assignsubmission_file;created;submission;77872;2;106097;70;67848;12798;1093;0;1420233059
2051;assignsubmission_file;created;submission;77873;2;106097;70;67848;13675;1093;0;1420233301
2079;assignsubmission_file;created;submission;77874;2;106097;70;67848;14050;1093;0;1420233849
2088;assignsubmission_file;created;submission;77875;2;106097;70;67848;13052;1093;0;1420234086
2098;assignsubmission_file;created;submission;77876;2;106097;70;67848;13547;1093;0;1420234682
2114;assignsubmission_file;created;submission;77877;2;106097;70;67848;13624;1093;0;1420235445
2128;assignsubmission_file;created;submission;77878;2;106097;70;67848;13048;1093;0;1420236091
2144;assignsubmission_file;created;submission;77879;2;106097;70;67848;12939;1093;0;1420236694
